id,bedrooms,price,reviews_per_month,review_scores_value
13127944,3,144.00,0.26,10
5766152,4,220.00,,
13653088,2,85.00,0.35,10
7839527,1,149.00,0.16,10
6611814,1,72.00,1.27,9
15459025,3,175.00,0.37,10
4969675,2,150.00,0.27,9
12251311,4,120.00,1.91,9
13647211,1,66.00,2.43,10
12309072,1,69.00,0.22,9
6680635,4,152.00,0.10,10
15435454,2,75.00,0.89,9
13424878,4,90.00,0.13,10
14443927,4,125.00,0.53,9
17365362,2,70.00,,
8583977,1,57.00,3.03,8
16705542,2,99.00,,
13889292,4,99.00,0.25,10
13561575,1,49.00,1.91,9
6850043,3,109.00,0.37,9
16674449,0,150.00,2.09,9
11459382,1,53.00,0.08,10
3150016,1,80.00,1.29,9
613088,1,78.00,3.48,10
3036359,0,81.00,0.29,10
8675811,2,80.00,,
16705077,1,78.00,0.83,6
4482546,2,175.00,0.49,10
515088,1,120.00,,
3561418,2,125.00,0.61,10
3155284,1,78.00,1.72,9
10868311,1,60.00,,
13268428,1,59.00,1.43,9
2921109,2,85.00,0.06,10
7769055,1,110.00,1.43,10
13164268,4,100.00,0.37,10
8081294,1,95.00,0.21,10
1358042,1,75.00,4.66,10
6943965,4,140.00,0.19,10
3990045,3,210.00,0.26,10
17197887,1,67.00,5.40,8
17585027,3,200.00,,
13424779,3,100.00,,
2940577,3,168.00,0.33,10
3462884,1,54.00,3.87,9
7822985,2,150.00,,
11918974,1,56.00,3.35,8
2842228,1,72.00,1.37,9
13721210,3,150.00,0.61,8
13609091,3,90.00,0.47,10
13199738,2,100.00,0.24,10
12839282,1,90.00,2.19,10
7160841,1,74.00,1.64,9
12207691,1,63.00,1.02,7
12165448,1,90.00,0.48,9
10502510,1,37.00,3.33,9
6463787,1,85.00,1.81,9
13540292,1,130.00,,
12335572,2,73.00,1.02,10
15770209,3,150.00,0.33,10
13678506,1,65.00,1.13,9
13148907,1,62.00,1.85,9
17836230,2,100.00,,
11446455,4,225.00,0.12,10
17053872,1,86.00,1,6
12761226,1,49.00,2.45,9
16306268,3,250.00,,
14274636,4,149.00,0.53,10
10172405,2,150.00,0.29,8
16698772,2,125.00,,
8811789,3,195.00,0.37,9
761411,1,48.00,2.18,9
7720233,3,125.00,,
1384479,1,125.00,0.52,9
11859831,1,60.00,1.61,10
17410049,1,73.00,,
5124214,2,109.00,0.40,10
12585183,3,225.00,0.10,8
9879725,2,77.00,0.59,10
13090950,2,140.00,0.29,9
17800761,4,110.00,,
13776069,2,110.00,1.29,9
17838096,1,152.00,,
13311521,1,60.00,2.08,9
17096015,1,63.00,3.00,8
17026187,2,79.00,,
12666580,2,100.00,0.36,9
6303583,4,180.00,0.58,10
5121714,4,200.00,0.19,10
16817681,4,100.00,,
6858428,0,80.00,2.68,10
17809110,1,125.00,,
14099734,4,100.00,0.61,9
15976914,1,163.00,1.33,9
11645848,3,249.00,,
2667413,3,130.00,0.18,10
14498590,3,150.00,0.40,10
17835031,3,150.00,,
17836910,2,125.00,,
13444064,2,180.00,2.83,9
3710782,1,90.00,0.23,10
16238910,1,40.00,,
9248684,1,45.00,0.30,9
13414785,1,45.00,1.80,9
11218361,1,49.00,,
2864823,1,65.00,2.38,9
3447998,3,130.00,0.19,10
14921039,1,70.00,5.02,10
14134576,2,125.00,0.29,10
3284802,1,70.00,3.44,9
3259374,3,140.00,0.76,10
16722519,1,30.00,2.09,9
13049566,3,110.00,0.26,10
3327727,3,125.00,0.06,9
12578052,1,140.00,2.10,9
4697911,4,140.00,0.36,9
14723562,3,88.00,0.30,10
9389404,1,90.00,,
3753071,1,75.00,0.60,10
17850552,2,145.00,,
13878012,3,105.00,0.13,10
14224799,2,100.00,0.13,8
14686289,0,75.00,1.18,9
16253959,2,250.00,,
12258399,4,120.00,1.36,9
5707655,2,85.00,1.98,9
14355447,2,175.00,4.29,9
5409737,0,95.00,0.14,9
14915385,3,106.00,0.16,8
17337920,3,125.00,,
1338633,1,59.00,1.16,10
16255590,4,100.00,,
14552284,1,85.00,1.25,10
886192,2,90.00,0.26,9
11556728,1,99.00,1.28,9
8162480,2,169.00,0.51,8
12749934,1,80.00,3.55,10
264628,1,100.00,0.07,10
6296657,4,250.00,,
7935029,2,95.00,1.90,9
8751830,1,69.00,1.23,10
16411638,1,55.00,0.33,6
9741835,2,80.00,0.22,10
3179826,3,205.00,0.25,10
3180391,1,115.00,0.15,10
15374358,4,148.00,0.70,10
12387233,2,510.00,,
595898,1,100.00,0.99,9
16772786,2,139.00,0.60,6
1020573,1,130.00,0.02,10
5216536,1,112.00,1.39,9
13664437,2,90.00,0.14,10
3637400,1,40.00,5.22,9
13293783,1,75.00,,
15537309,1,30.00,0.94,
13145222,2,160.00,0.38,9
9192196,0,70.00,0.73,10
9474404,1,38.00,2.62,9
11015568,1,87.00,0.18,9
13508105,2,225.00,0.32,7
12783817,1,49.00,1.13,9
3346620,1,48.00,1.28,9
16484437,1,100.00,0.33,8
3942085,1,35.00,1.43,9
14302175,2,516.00,,
12959637,1,38.00,,
10601221,1,100.00,,
11251439,2,120.00,0.65,10
13431496,3,130.00,0.36,9
17196828,0,99.00,1,10
7036515,4,99.00,0.26,10
13922948,1,55.00,1.16,10
16050056,1,80.00,1.89,10
2362966,0,100.00,1.81,10
15526493,1,115.00,0.98,10
13330153,4,125.00,0.11,
5403090,1,55.00,1.79,10
2888202,2,120.00,0.71,8
17634538,1,89.00,2,10
916850,3,255.00,0.57,10
17488195,1,98.00,1,10
5312713,1,90.00,1.40,10
10580323,1,74.00,1.93,9
15556436,1,50.00,5.83,8
4284604,1,80.00,1.78,9
13025223,3,99.00,0.37,10
13859520,4,149.00,0.11,
16372941,1,80.00,,
7306822,1,65.00,2.26,9
1833963,1,59.00,4.09,9
5403528,3,100.00,0.44,9
17791932,1,85.00,,
8020016,1,52.00,5.61,10
2056256,3,219.00,0.18,9
15528234,1,150.00,0.57,9
