id,bedrooms,price,reviews_per_month
2143824,1,20.00,1.98
13477734,2,58.00,6.12
13226641,2,79.00,7.20
3393885,1,40.00,
10758639,2,49.00,2.26
17949796,1,90.00,
17731382,1,85.00,
8592552,1,60.00,0.11
5963777,1,50.00,1.16
12154060,1,80.00,1.49
8321472,1,37.00,6.49
7401120,1,50.00,0.64
11343804,6,450.00,4.23
14063562,0,70.00,3.33
9017283,1,60.00,3.05
11144739,2,186.00,0.31
17827034,1,50.00,1
12883981,1,52.00,
17954869,1,31.00,
99580,1,75.00,0.06
9148443,1,55.00,4.66
7618785,1,25.00,
13509045,1,60.00,2.69
15243380,1,100.00,0.48
14192323,1,26.00,0.92
7704291,2,66.00,1.29
12064892,1,40.00,10.21
4507891,1,35.00,1.83
15800547,1,100.00,1.29
10064795,4,149.00,4.28
2431155,1,59.00,3.37
3184859,0,48.00,3.53
1150753,1,39.00,3.02
9211704,3,210.00,4.01
13703486,2,59.00,0.36
9768832,0,115.00,0.37
3113226,1,60.00,1.59
1675198,2,143.00,0.14
493067,1,65.00,4.10
14850472,3,115.00,3.90
11633315,1,63.00,6.21
11241110,0,80.00,1.11
8390275,1,45.00,5.35
8160944,1,80.00,0.11
823321,1,72.00,0.43
8808916,1,20.00,
15325617,1,30.00,3.07
801113,1,34.00,3.15
6477859,1,149.00,0.70
17619406,1,36.00,
12978103,0,65.00,0.62
6549290,1,120.00,0.41
12493394,1,45.00,1.72
7576310,0,60.00,2.83
6969401,4,80.00,1.19
17144623,1,30.00,
9245072,1,20.00,
13476439,1,35.00,2.22
18066435,1,22.00,
14019593,2,98.00,2.83
1085898,1,130.00,0.26
5053342,2,135.00,5.47
1675753,1,90.00,0.39
13273213,2,50.00,4.16
14228441,3,220.00,1.00
11630593,2,119.00,1.77
3742728,2,130.00,1.41
17750115,1,105.00,
15506458,2,70.00,2.94
793622,1,65.00,0.49
15670306,3,260.00,6.04
1675910,0,80.00,
11902016,2,100.00,3.83
8504088,1,59.00,1.58
9935947,1,80.00,2.17
692855,1,60.00,2.07
793618,3,240.00,4.33
12065949,2,95.00,0.91
16270115,2,76.00,0.33
15012586,1,30.00,1.18
5507413,1,45.00,1.97
761015,2,65.00,0.77
9734480,2,88.00,5.40
756098,2,130.00,0.11
8528550,1,25.00,
15958271,1,84.00,
13673127,1,49.00,0.95
17503081,2,65.00,1.67
17701437,2,95.00,
15441275,2,115.00,4.15
15637914,4,270.00,1.62
1809816,3,123.00,0.72
5964116,1,59.00,2.24
5252785,2,90.00,2.07
16307602,1,52.00,3.09
13671856,1,23.00,1.19
13409702,2,89.00,6.24
17571280,1,35.00,3
1608209,1,64.00,1.07
16719324,4,174.00,3.13
16386641,1,85.00,1.50
4103680,3,150.00,1.44
14484737,1,58.00,6.46
11411014,5,261.00,2.57
17637001,1,75.00,
15051892,1,63.00,
17039879,1,95.00,
6097605,1,60.00,
169753,1,32.00,3.11
9215638,0,51.00,9.73
15701193,1,72.00,3.92
13931727,2,80.00,4.45
14819063,3,155.00,0.71
2846776,1,65.00,2.34
16621329,1,80.00,2.17
3381041,1,17.00,0.71
12195116,1,73.00,4.78
17571687,1,55.00,2
17637238,1,27.00,1
13246345,1,50.00,3.41
14060439,2,104.00,0.67
11799435,1,60.00,3.28
9018009,1,60.00,1.86
15729350,1,40.00,1.50
18087332,1,32.00,
16205735,1,75.00,3.25
16225750,2,80.00,
15638499,1,72.00,0.57
9606598,2,70.00,3.90
14157982,3,128.00,3.73
6559560,1,20.00,6.92
15991543,1,60.00,1.99
4235268,1,75.00,0.06
17206216,1,120.00,1.43
18028017,0,40.00,1
13197405,1,60.00,4.13
11247624,0,36.00,3.05
5974127,1,30.00,3.91
434195,1,36.00,2.41
3856648,1,55.00,0.04
12787835,2,550.00,
9711634,1,80.00,7.16
4197528,1,100.00,0.65
819738,2,95.00,0.41
15264967,1,49.00,
9964714,1,120.00,1.36
721831,1,60.00,0.16
4456369,1,28.00,0.98
15668972,1,86.00,
15442250,1,100.00,0.64
3965089,1,91.00,4.11
399096,2,118.00,0.68
1283843,1,60.00,0.61
757065,2,150.00,0.41
17761385,0,119.00,
4413759,1,115.00,0.66
4488179,2,110.00,1.59
8178841,1,103.00,3.36
7109597,1,61.00,1.46
16670554,1,75.00,4.29
6507502,2,130.00,3.02
10532263,2,55.00,1.93
17937880,1,30.00,
7072197,2,145.00,0.24
6048936,1,30.00,5.01
13651213,2,70.00,0.45
8528760,1,30.00,
14606377,1,50.00,5.30
3858506,1,32.00,0.67
18102065,1,35.00,
11395168,1,69.00,0.16
11580388,1,58.00,5.65
2139191,2,50.00,0.43
11128281,2,68.00,4.96
13197420,2,80.00,0.13
16801901,1,66.00,4.58
4947785,1,23.00,3.98
12279941,1,65.00,3.87
904775,2,145.00,2.67
14667406,1,40.00,2.64
12766878,1,40.00,1.59
14151891,1,60.00,1.56
13651618,1,30.00,2.82
3620685,1,103.00,0.04
16332929,1,65.00,0.31
6174850,1,51.00,0.54
763214,1,60.00,0.65
7813315,3,165.00,0.45
18047647,1,84.00,
14071630,1,25.00,
6574016,0,45.00,0.05
12826974,1,500.00,
3974617,1,70.00,0.42
