id,bedrooms,price,reviews_per_month,review_scores_value
6428829,0,489.00,0.17,10
12473277,2,2,195.00,,
13315573,1,799.00,,
11871362,3,1,202.00,,
1910291,0,853.00,1.33,8
10577037,0,1,101.00,2.33,9
13751232,1,295.00,3,9
9376707,1,892.00,,
4945547,0,597.00,0.34,10
5739465,0,698.00,0.71,9
992390,1,636.00,2.36,9
13868658,2,1,148.00,0.94,10
10417892,0,799.00,,
1881824,0,574.00,0.73,9
11155185,1,496.00,0.83,8
12596980,0,900.00,3.69,10
12199170,1,1,000.00,,
5215262,1,1,047.00,0.17,8
13334276,1,271.00,,
5776675,1,372.00,0.25,7
11422375,0,752.00,,
8849713,0,900.00,0.42,10
5198948,1,799.00,0.06,10
11722380,1,349.00,0.78,10
4372254,2,698.00,2.51,9
7120214,1,1,598.00,,
9795413,1,698.00,0.53,10
5175492,1,551.00,0.23,10
8398193,1,1,202.00,0.26,10
11228316,0,481.00,,
4090138,0,388.00,1.95,9
10778485,1,900.00,,
4297908,2,799.00,0.26,9
6944627,1,442.00,0.37,9
13776761,1,140.00,,
7038531,1,496.00,0.33,10
2299046,0,473.00,1.80,9
1984693,3,3,001.00,0.06,10
1922220,1,651.00,2.27,9
9065705,2,690.00,0.27,10
9189276,1,597.00,0.54,9
1887379,1,799.00,0.38,8
13149695,1,698.00,,
14171805,0,752.00,,
9340548,1,698.00,,
11972203,0,489.00,0.23,10
4576534,1,527.00,0.79,9
4137890,1,1,000.00,0.31,9
9402371,1,993.00,0.58,9
13178170,0,752.00,0.46,8
10090512,1,496.00,,
12613661,0,698.00,0.54,8
11539787,1,403.00,,
534106,2,1,000.00,0.31,10
10638693,0,597.00,1.91,10
419424,2,1,086.00,1.32,9
13981054,1,202.00,,
3548826,1,651.00,,
2774414,2,2,598.00,0.10,10
13948300,1,1,202.00,1,10
1849434,1,659.00,0.73,9
13505948,2,698.00,1,8
11331240,2,1,000.00,0.21,10
13482117,1,799.00,2,9
481671,1,302.00,,
9722845,2,605.00,3.01,9
3731850,1,597.00,2.45,9
10640339,2,1,101.00,0.17,6
284141,2,620.00,0.39,9
11507185,0,597.00,2.52,9
1054196,1,993.00,0.50,9
801022,2,2,319.00,0.05,7
13145635,1,496.00,1,10
14194222,1,1,000.00,,
6404400,1,1,101.00,1.40,9
8583481,1,698.00,0.41,9
