id,bedrooms,price,reviews_per_month,review_scores_value
16040367,1,42.00,2.40,10
11977138,2,180.00,1.44,10
16662968,1,100.00,,
9835934,1,25.00,0.49,8
3899828,1,85.00,0.53,9
3719614,1,100.00,0.13,10
13730241,2,550.00,1.34,9
1556554,3,150.00,0.62,9
4177992,1,45.00,2.94,10
13904831,1,38.00,0.36,10
10781131,2,100.00,0.30,10
4030934,2,199.00,,
6865374,1,70.00,0.89,9
13910497,1,50.00,0.24,
9224676,1,50.00,1.84,9
14829565,1,72.00,0.61,10
15985405,1,58.00,1.32,10
13910515,1,75.00,0.99,9
14778870,1,62.00,1.27,9
14172677,2,200.00,1.12,10
15955372,2,50.00,1.85,8
14604357,2,75.00,0.16,
1982951,1,39.00,4.11,10
12190222,2,160.00,2.09,9
999963,3,165.00,0.23,10
14737498,2,125.00,2.39,9
11663653,1,85.00,0.35,10
9486894,1,20.00,,
10617389,0,55.00,,
15818846,1,26.00,1.81,10
2146858,1,39.00,0.85,7
12285598,2,175.00,0.30,
15270463,1,60.00,0.33,8
12567097,1,65.00,6.18,10
8454707,2,99.00,5.68,9
6938725,4,130.00,0.05,10
7455315,1,90.00,1.31,9
14729820,1,27.00,0.76,9
4981330,1,125.00,2.50,9
17154661,1,60.00,,
2394893,1,50.00,1.95,10
13255271,1,40.00,4.86,8
14680708,2,100.00,1.09,9
3818101,1,72.00,0.37,10
14811782,2,149.00,1.22,10
5092800,2,120.00,0.84,9
17188048,1,80.00,,
6177426,1,55.00,,
11272851,1,68.00,1.99,10
16351893,1,79.00,,
4080295,1,55.00,0.13,8
15696557,2,80.00,1,10
13353649,1,65.00,0.40,9
3244677,1,95.00,5.97,9
14729914,2,155.00,0.89,9
11436734,1,99.00,,
11551428,1,35.00,0.18,10
11551438,1,70.00,0.37,10
9172429,1,35.00,,
13370054,2,150.00,4.78,9
14533329,1,100.00,2.17,8
16941783,2,170.00,,
15871602,1,110.00,2.06,9
15474529,1,58.00,1.76,10
17154793,1,120.00,3,10
8274653,1,37.00,1.06,9
7406317,2,189.00,0.84,9
15581939,1,112.00,1.07,10
16717269,5,500.00,,
4965105,1,125.00,1.90,8
1929739,1,45.00,1.05,10
8225515,1,29.00,6.22,8
15041289,1,49.00,1.24,9
14730002,1,27.00,3.69,9
8405783,1,60.00,0.12,7
13620699,1,50.00,0.36,9
15139623,1,120.00,0.80,10
15401778,1,60.00,0.48,9
13655082,1,115.00,0.27,10
3408673,2,49.00,3.36,10
13665080,1,21.00,1.76,8
16663355,1,40.00,5,9
16335673,1,40.00,0.63,10
8405804,5,399.00,3.85,10
13863733,3,110.00,0.30,10
13320332,2,135.00,2.52,9
17253199,1,100.00,,
5849931,2,82.00,1.29,9
12649302,1,80.00,1.25,9
13484889,2,175.00,0.14,10
8618844,1,85.00,,
9998986,1,95.00,5.88,9
17165687,1,50.00,,
13583207,1,25.00,0.29,6
14402413,1,80.00,2.80,10
11551602,1,60.00,0.18,6
12878703,1,34.00,2.22,9
14402425,2,149.00,3.43,9
11538015,1,65.00,2.51,9
7619391,1,47.00,0.61,8
1131404,1,110.00,0.58,9
15025047,3,295.00,,
13812621,1,60.00,3.23,9
13026201,2,50.00,0.22,
2917267,5,208.00,0.97,10
9969686,1,45.00,0.84,10
16827293,1,52.00,,
13026204,2,110.00,0.88,8
11207583,1,22.00,0.57,9
12484741,1,41.00,0.12,10
7275429,1,60.00,0.51,8
16532401,1,58.00,,
7610523,4,460.00,3.27,9
7259054,1,55.00,3.20,9
15729599,1,60.00,,
16106435,1,50.00,0.81,8
17122248,2,75.00,,
7160768,2,205.00,2.15,9
4317345,1,75.00,0.25,10
11437012,1,125.00,0.09,10
2671586,3,97.00,0.14,10
16909285,5,200.00,,
11584484,3,90.00,0.75,9
5604332,1,100.00,,
15533045,1,45.00,0.80,9
16794615,1,60.00,2,10
16598017,1,50.00,,
17302539,1,65.00,,
2474966,1,90.00,5.79,8
8963080,1,110.00,2.32,9
9651195,0,80.00,4.93,9
8520720,2,125.00,1.06,10
6095885,1,110.00,1.38,10
13527897,3,135.00,0.48,9
11207702,2,165.00,1.80,10
14009374,2,180.00,1.63,8
13721777,1,60.00,,
8963129,1,100.00,0.19,10
6489113,1,77.00,4.44,9
13534267,1,40.00,2.82,9
13115576,3,175.00,3.46,10
17024098,1,399.00,,
9380025,1,49.00,1.55,8
16188511,1,40.00,1.05,10
11348838,1,175.00,0.08,
14124147,1,90.00,0.40,10
5719167,1,70.00,,
14435456,1,49.00,1.17,9
14065855,1,70.00,4.71,9
16336008,1,50.00,,
10781837,1,107.00,,
9946233,1,55.00,5.87,8
7046278,1,60.00,2.27,10
11502727,0,95.00,3.83,10
15238288,1,39.00,1.58,9
427077,1,110.00,4.34,9
837881,1,23.00,1.38,10
17009519,1,120.00,,
4828017,1,45.00,,
3703959,1,55.00,2.54,9
10257579,1,65.00,1.68,8
6309046,3,240.00,0.27,9
14664880,1,70.00,0.87,10
13492042,1,65.00,0.12,
10896559,2,107.00,3.98,7
15156417,1,40.00,0.76,10
2966722,4,130.00,0.10,7
8651971,1,118.00,0.96,9
5162175,1,60.00,4.86,9
13731026,1,70.00,0.13,10
13862105,1,15.00,,
16565466,1,60.00,0.59,
11273430,1,60.00,3.14,9
16876772,3,125.00,,
10442278,3,110.00,,
16451555,1,89.00,0.61,10
12502253,1,46.00,2.91,9
3856095,1,69.00,1.90,10
17040659,3,250.00,1,10
17007894,2,550.00,,
14468372,2,120.00,2.39,9
16687321,1,69.00,2,10
7472377,2,120.00,5.05,10
13632786,2,172.00,5.45,9
14759629,1,80.00,4.31,10
13291099,1,49.00,0.72,10
15025447,1,75.00,3.70,9
16583959,1,32.00,0.81,10
15914552,2,200.00,0.65,8
14288199,1,65.00,1.76,10
9254452,1,60.00,1.53,10
6620493,1,60.00,0.23,10
6718806,1,75.00,1.46,9
1770848,1,83.00,2.80,10
9454932,2,99.00,7.47,9
12551534,1,45.00,0.10,8
11269403,2,110.00,4.83,9
12436876,1,80.00,0.12,10
10421649,1,40.00,0.44,7
2545217,2,45.00,1.57,10
14960022,1,80.00,0.85,7
6294418,3,149.00,5.38,10
6275307,1,80.00,4.85,9
15879066,2,160.00,0.63,10
1983907,2,160.00,0.11,8
16336306,1,21.00,,
13764017,1,50.00,2.64,9
13272493,4,400.00,4.17,10
16942522,2,79.00,,
11519424,1,100.00,0.62,9
13813187,1,75.00,0.27,10
17008072,1,100.00,,
13093610,3,220.00,3.18,9
15467987,1,100.00,1.34,10
8439244,1,120.00,3.93,9
2033724,1,50.00,2.03,9
13174237,1,95.00,0.57,10
17008098,2,160.00,,
8750563,1,108.00,2.19,9
13796842,1,55.00,1.02,10
16498941,2,40.00,4.74,10
8308211,1,130.00,0.17,9
12617204,2,76.00,0.96,10
14521997,1,25.00,2.18,9
8521217,2,150.00,0.76,10
3427244,3,210.00,,
16565771,1,30.00,,
8661933,2,300.00,1.34,9
14681617,2,99.00,1.07,10
13583894,1,70.00,0.15,10
17040915,1,41.00,1,10
16451095,1,55.00,1,10
9537054,2,250.00,,
7636508,1,50.00,0.45,9
16975397,2,45.00,,
13813290,1,85.00,0.97,9
16401965,1,100.00,,
9029155,1,106.00,6.54,9
7255645,2,250.00,0.42,10
6966196,2,89.00,0.06,10
12617275,2,71.00,0.12,10
9881149,1,56.00,1.69,8
3540544,1,50.00,,
4310584,2,54.00,2.87,10
6979849,2,110.00,3.67,9
3378102,1,95.00,0.54,10
7276073,2,140.00,6.50,9
16385623,1,49.00,2.42,8
16255930,1,70.00,1.84,9
16189035,2,98.00,0.63,8
8128084,1,65.00,5.25,10
15788989,1,40.00,4.29,9
12699251,2,300.00,0.55,9
14681723,1,75.00,,
10339957,3,300.00,0.73,10
7374435,1,52.00,6.03,10
14141058,2,260.00,0.83,9
4851325,1,70.00,0.76,9
11814532,1,70.00,,
13682310,3,450.00,0.88,9
15337097,2,107.00,3.33,9
11945613,3,250.00,,
17155727,1,59.00,,
13485714,1,58.00,0.67,9
16942743,1,130.00,,
13993624,1,30.00,2.49,9
7194268,1,100.00,,
7554718,1,43.00,0.05,10
9422501,1,65.00,0.07,10
6637187,1,89.00,7.89,9
12207784,1,75.00,1.77,10
10488777,1,70.00,,
11994815,1,70.00,0.21,10
14141103,1,30.00,5.52,9
11601585,1,100.00,5.03,10
13027020,1,135.00,3.04,9
13092558,1,30.00,1.35,10
8996553,3,650.00,1.86,10
12911400,1,70.00,1.11,9
17249913,2,130.00,,
11765464,1,99.00,0.46,10
1066719,2,130.00,0.26,9
16156397,1,45.00,1.28,10
15320818,1,45.00,1.22,10
4490983,1,130.00,1.91,9
15697664,2,120.00,,
13937362,1,40.00,0.13,
16893704,1,75.00,2,8
585181,1,32.00,0.98,10
11716377,1,100.00,,
9111307,5,750.00,0.76,10
9750299,1,70.00,,
15107878,1,90.00,1.68,9
13585175,1,29.00,6.75,9
13342346,1,32.00,0.98,10
16172864,1,100.00,,
14534460,1,90.00,1.07,10
3491651,1,55.00,0.24,9
1345328,1,45.00,3.46,10
15419208,1,103.00,0.54,10
3622736,2,130.00,0.20,8
14813014,1,80.00,0.59,
14245311,1,40.00,3.35,10
1902414,1,63.00,1.84,9
7948103,2,200.00,6.91,10
10955747,1,71.00,3.88,9
14796635,1,110.00,2.42,9
14461924,1,800.00,7.16,9
16762730,1,80.00,,
16598898,1,30.00,3,9
3377016,1,138.00,0.10,10
14501755,1,100.00,1.29,8
9877140,1,75.00,1.80,10
2770813,1,99.00,1.01,9
14747538,1,79.00,1.35,8
6136125,3,200.00,5.58,9
8161178,1,33.00,1.80,10
1345435,1,42.00,0.64,10
6670240,1,104.00,1.91,7
12699587,1,89.00,1.35,9
5507012,1,50.00,0.80,9
15779781,0,75.00,1.86,9
3327938,1,42.00,0.74,9
9586615,1,40.00,4.29,9
14895048,1,115.00,3.86,10
7807303,2,140.00,5.83,9
13797327,1,79.00,0.27,9
15452114,2,180.00,0.27,10
1411019,1,89.00,3.93,9
16433489,1,88.00,1.22,9
17188844,1,37.00,,
10611708,1,70.00,0.80,9
15402995,1,140.00,,
3114981,1,50.00,1.96,9
15292073,1,90.00,0.27,10
14354424,1,45.00,1.48,9
13993986,1,26.00,0.47,9
13833899,1,49.00,1.88,10
16648198,1,40.00,,
6653964,1,69.00,0.68,10
10569766,4,210.00,0.23,10
3180579,1,70.00,1.47,9
11946035,1,50.00,0.09,10
13617211,2,70.00,0.72,7
10881092,1,70.00,0.49,9
14207048,1,17.00,,
11110458,2,150.00,6.03,9
11274319,1,80.00,,
17008722,1,120.00,,
11782221,3,159.00,1.96,9
13797447,2,133.00,3.59,10
13812067,1,75.00,0.97,9
7052192,2,120.00,3.12,9
13470735,1,20.00,0.52,8
14469216,1,49.00,3.08,9
12339299,1,50.00,,
16582760,1,55.00,5.12,9
13404267,1,85.00,4.38,9
1296492,1,48.00,1.19,9
13238633,3,120.00,1.60,9
9914481,1,45.00,2.96,9
13215294,1,89.00,1.56,10
4456810,1,48.00,0.13,10
11671232,1,130.00,,
14534791,1,42.00,0.34,10
12142737,2,225.00,1.22,10
910621,1,55.00,0.41,9
13748376,1,80.00,2.89,9
12060826,2,110.00,2.92,9
11201562,1,78.00,3.44,10
5392522,2,85.00,4.42,9
13568163,3,300.00,6.08,9
15157421,2,80.00,0.54,10
11933384,1,38.00,,
12126387,1,55.00,0.63,9
13191350,1,45.00,0.14,6
6375611,3,270.00,0.30,10
8226976,1,29.00,7.71,9
5508129,2,100.00,0.36,9
11831510,1,123.00,2.19,7
1804494,2,90.00,1.45,10
6526670,1,36.00,0.06,10
14665958,1,70.00,3.24,10
5605620,3,111.00,0.55,9
3295492,1,28.00,0.50,9
15838921,1,45.00,0.63,8
15417729,1,55.00,2.89,9
6719721,1,109.00,7.49,9
13583555,1,33.00,5.84,9
11585793,2,185.00,5.85,8
13764890,1,60.00,0.27,9
13748505,3,188.00,0.17,10
15304992,1,95.00,1.21,10
10586406,1,200.00,,
8915234,1,50.00,4.47,8
15417736,1,150.00,1.24,9
16288050,1,125.00,1.25,10
14879030,1,65.00,1.23,9
14895421,1,55.00,,
8167813,1,31.00,5.68,9
13240636,1,95.00,1.48,9
16009541,4,400.00,,
7948611,1,55.00,0.06,8
14289228,1,95.00,1.62,10
14846285,2,90.00,3.47,9
6474049,1,110.00,2.15,9
12142926,2,245.00,2.67,9
11520349,1,160.00,0.23,9
11618646,1,90.00,2.14,9
8629305,1,130.00,2.48,10
2935136,1,70.00,0.46,10
12339563,1,70.00,0.86,10
16025986,2,300.00,,
6834535,2,200.00,6.01,9
8522094,1,49.00,3.23,9
17012260,1,65.00,,
13814160,1,75.00,2.35,10
8604073,2,145.00,,
7784872,2,130.00,2.11,9
13584812,1,25.00,0.37,7
12400367,1,119.00,6.81,10
3770752,1,69.00,4.17,10
12965620,1,47.00,,
9046466,1,100.00,,
8866250,1,60.00,0.15,10
4671940,2,120.00,0.83,9
