id,bedrooms,price,calculated_host_listings_count,review_scores_value
19910705,1,90.00,1,10
9555648,1,95.00,1,10
6670064,1,65.00,1,9
771436,3,250.00,1,
2738965,3,178.00,2,10
4541187,1,127.00,2,9
15581667,1,75.00,1,9
20168550,2,117.00,1,
13889399,3,125.00,1,10
16231738,2,130.00,1,6
16426099,0,100.00,1,10
5805232,1,150.00,1,
16814700,3,360.00,4,10
15437290,2,199.00,4,10
15568588,1,89.00,1,10
19721291,1,100.00,1,10
13601150,1,47.00,1,8
18975097,1,50.00,1,
9275453,1,80.00,1,7
18974335,1,85.00,1,10
13991331,0,160.00,1,9
21079521,3,129.00,2,
10283574,1,100.00,1,10
19624896,1,55.00,1,10
20280692,2,160.00,1,10
4550494,2,235.00,2,10
5992686,1,40.00,2,9
18820769,2,280.00,1,
20408846,1,68.00,1,10
5466955,1,100.00,1,10
19915939,1,55.00,8,10
19615439,1,76.00,2,
7557546,2,133.00,1,10
494208,1,42.00,2,9
19915204,1,59.00,8,9
2836845,2,160.00,1,10
18433038,1,59.00,1,10
2745620,1,55.00,6,9
5036261,1,32.00,1,10
19912628,1,69.00,1,
4685448,1,60.00,1,
8194426,1,450.00,1,
16975094,1,100.00,2,8
17367926,1,110.00,1,9
16679726,1,129.00,1,10
11670639,1,30.00,1,
17462442,8,30.00,1,10
8681776,2,75.00,1,9
15757847,1,75.00,1,
13922394,1,80.00,1,
16542227,2,175.00,1,
14181211,1,120.00,1,10
16146960,1,48.00,3,10
4874722,1,70.00,1,9
3040654,1,50.00,1,10
12607802,1,138.00,1,9
13941210,2,70.00,1,10
679633,1,75.00,1,
12867950,1,40.00,1,
11162977,1,70.00,1,10
19944735,1,105.00,1,
12864971,0,400.00,1,
13127582,1,100.00,1,10
18238083,1,40.00,1,10
16015050,1,95.00,1,
1981410,1,135.00,1,10
14824090,1,95.00,1,10
12988802,2,174.00,1,
1581579,2,188.00,1,10
12067200,1,68.00,1,
16916708,1,80.00,1,10
20194665,1,59.00,2,10
20194264,1,125.00,1,
13115616,2,130.00,1,
20848827,1,150.00,1,
18108648,2,100.00,1,10
9182008,2,140.00,1,10
1841252,2,100.00,1,9
16707621,1,95.00,1,
19274661,1,60.00,1,10
12851100,0,80.00,1,8
13392143,1,29.00,1,
14163104,1,95.00,1,10
1578776,1,59.00,1,10
2756886,1,35.00,6,9
8392760,1,45.00,5,10
12845943,1,40.00,1,10
6357564,1,55.00,2,9
20188527,1,75.00,1,
8392882,1,80.00,4,10
14421275,1,65.00,1,
12455130,1,95.00,1,9
10357730,1,38.00,2,10
18221952,1,60.00,1,9
6555427,1,65.00,8,9
14352688,1,60.00,1,9
19530271,1,119.00,1,
4724661,1,125.00,1,
2435198,1,50.00,1,10
16771876,1,70.00,1,10
1739847,1,35.00,1,10
11695338,1,45.00,1,10
8402207,1,28.00,1,9
17960424,1,65.00,1,9
18736577,1,49.00,3,10
13224318,1,49.00,2,10
15058410,1,65.00,1,10
18723699,1,45.00,1,10
2477138,1,30.00,1,
18737053,1,39.00,3,10
2685940,1,80.00,1,9
13953640,2,125.00,1,10
13265829,1,55.00,1,8
13697001,1,25.00,1,
9944320,1,25.00,1,
2371632,1,98.00,1,10
19546150,0,100.00,1,
19951032,0,45.00,3,
21080809,1,50.00,1,
18812810,1,115.00,1,8
4830154,1,45.00,1,
15024889,2,85.00,2,8
17403646,1,55.00,1,10
18077042,1,81.00,1,10
16034472,1,90.00,1,
20881491,1,39.00,2,9
11474664,2,110.00,2,9
7725825,3,79.00,1,10
21025488,2,155.00,2,
18548776,1,85.00,1,
5094957,1,55.00,3,10
17366174,1,69.00,1,
6023683,5,335.00,1,10
11496210,1,87.00,2,10
5204719,2,70.00,2,9
15008979,1,69.00,1,10
19030149,2,110.00,3,10
21112584,1,100.00,2,
6576336,1,65.00,1,10
21107357,1,55.00,1,
4853647,0,99.00,1,9
6032118,1,55.00,3,10
4982699,2,99.00,1,8
21147340,1,50.00,1,
20828094,0,70.00,2,10
18898125,2,51.00,2,7
19905952,1,55.00,1,
16814973,1,50.00,5,10
13359647,1,40.00,2,9
10332161,1,35.00,1,9
12955940,1,34.00,1,10
19588726,1,70.00,2,8
18199127,0,32.00,1,
12988898,1,130.00,1,
16814803,1,60.00,5,10
18416347,1,75.00,5,9
21040944,1,40.00,1,
15300956,1,40.00,1,9
16195143,2,80.00,5,9
16065265,1,140.00,1,9
16337106,1,55.00,5,9
20548992,1,150.00,1,10
13810918,0,60.00,1,10
20626705,1,37.00,2,10
176129,1,62.00,1,10
17045488,1,80.00,5,9
16814382,1,65.00,5,9
13688739,1,65.00,1,9
16351193,1,50.00,5,9
8756017,1,65.00,1,
17529164,1,45.00,2,10
19604867,1,42.00,1,
4347219,1,100.00,1,
17045788,1,60.00,5,9
15176641,1,85.00,1,
2698984,3,280.00,1,10
20575645,2,250.00,1,10
19887332,1,80.00,1,10
19360560,0,40.00,1,
15099391,3,110.00,1,
15345966,1,100.00,1,8
20728160,1,34.00,4,10
9113965,1,39.00,4,10
6867897,1,35.00,4,10
6314389,1,43.00,4,10
259946,1,125.00,3,9
16087737,1,31.00,2,8
20452107,2,119.00,1,10
4981857,1,80.00,2,9
19805091,2,87.00,2,9
19192001,0,75.00,2,10
15910991,2,120.00,1,
258838,3,250.00,3,10
17716523,2,125.00,2,9
738588,7,625.00,3,8
18628272,1,68.00,2,10
17971822,1,109.00,1,
16650268,1,119.00,1,
6031948,0,70.00,1,10
16123943,1,105.00,1,10
13752815,1,69.00,4,9
13005376,1,85.00,1,9
7664991,1,80.00,3,9
14796074,3,299.00,5,10
16244553,1,85.00,1,9
19660760,1,129.00,1,10
18806323,2,250.00,1,10
13914735,2,87.00,2,10
1215627,2,150.00,1,9
16703220,2,180.00,1,10
20848182,2,50.00,1,
1684053,1,75.00,2,9
6519873,1,75.00,1,9
12829824,3,180.00,2,10
7734034,0,120.00,1,10
21114659,1,75.00,1,
13527085,1,35.00,4,9
16543067,1,86.00,5,
14535032,1,38.00,1,10
12489666,1,90.00,1,10
2476456,1,35.00,1,9
12124688,2,150.00,2,9
8135403,1,80.00,3,9
9886514,1,250.00,1,
20587645,1,0.00,7,
16604081,1,124.00,5,10
19487831,1,350.00,7,
15839869,0,95.00,1,10
5009768,1,180.00,1,10
14733074,1,49.00,1,10
3852261,1,129.00,5,10
14426371,1,42.00,1,10
15597266,1,60.00,2,9
14843072,2,191.00,1,9
19912699,1,95.00,1,10
15311833,1,60.00,2,10
20586405,1,0.00,7,9
20026248,3,275.00,1,9
13556488,1,150.00,1,10
16251872,1,25.00,1,10
20155864,2,150.00,1,
20679072,1,50.00,3,9
20678858,1,35.00,3,6
3506399,1,76.00,3,9
581542,1,92.00,2,9
6585028,1,159.00,5,10
7043746,3,250.00,4,9
6520350,4,300.00,1,9
19261720,5,715.00,1,
18802889,2,200.00,7,8
16082923,1,100.00,1,10
19487730,1,99.00,5,10
14110407,4,450.00,1,10
16449771,1,55.00,4,9
7894007,2,200.00,1,10
15492820,1,65.00,1,
13657292,2,160.00,1,9
13525009,1,30.00,4,10
13524592,1,30.00,4,10
12211396,1,55.00,1,10
6044964,1,150.00,1,10
14124508,2,101.00,1,10
19812097,2,50.00,3,10
12205604,1,159.00,5,9
20587378,1,0.00,7,9
18359426,1,55.00,2,10
6576463,1,129.00,5,10
15342701,1,150.00,1,10
13113064,1,125.00,1,9
20583998,1,40.00,7,10
18785110,3,225.00,7,8
7996391,1,202.00,1,
16253413,1,69.00,4,10
16254609,3,200.00,4,9
18504871,1,100.00,1,9
17097898,1,47.00,2,10
14303304,1,75.00,3,9
14959164,1,80.00,1,9
4008443,1,65.00,1,10
19475065,1,103.00,1,10
17865967,1,45.00,3,6
11262090,1,60.00,1,10
9238214,1,39.00,1,10
19410166,1,100.00,1,
3263561,1,60.00,1,9
10723142,1,35.00,1,10
1036498,1,59.00,2,9
18022545,3,85.00,2,10
9895911,1,55.00,1,10
8648818,1,45.00,1,
1710729,1,200.00,1,
9684503,1,68.00,1,10
13084559,1,45.00,1,9
17496002,0,130.00,1,9
13937620,2,180.00,1,10
20439529,1,85.00,1,
15834067,1,110.00,1,9
752366,1,110.00,1,10
3176874,2,119.00,1,10
19848373,2,200.00,3,10
12185367,1,125.00,1,9
20309405,2,120.00,1,
2024991,2,110.00,1,
15037795,2,125.00,1,10
4831703,2,150.00,1,6
3615796,1,179.00,1,10
16163275,1,95.00,1,10
14708459,1,200.00,2,
18994965,1,60.00,1,10
12582348,1,55.00,1,10
21174772,1,95.00,1,
894093,1,47.00,1,9
19570605,1,65.00,1,10
18548629,1,150.00,1,
16897705,1,68.00,1,10
16180024,1,85.00,1,10
19122134,1,65.00,1,10
12609695,1,55.00,2,9
10995810,1,33.00,1,
8266969,1,75.00,1,
9613541,1,100.00,1,
978615,1,87.00,2,9
771650,1,77.00,9,9
449764,1,85.00,9,9
771647,1,75.00,9,9
7402303,1,120.00,1,10
5569167,1,50.00,1,
13348074,1,65.00,1,
3594408,1,85.00,1,10
4666794,1,60.00,1,
6934770,1,55.00,1,
895432,1,85.00,9,
15875,1,85.00,1,10
11774332,1,159.00,3,9
20896605,1,110.00,1,10
5085965,1,95.00,1,9
13359798,1,200.00,1,10
15990316,1,95.00,1,9
12827146,1,68.00,1,10
3768977,1,170.00,2,10
4839932,1,125.00,1,10
11776141,0,135.00,3,9
16442423,2,130.00,1,9
18404432,2,99.00,1,10
14790101,2,160.00,1,10
9548931,1,130.00,1,9
19984688,3,325.00,3,10
761606,2,100.00,1,10
6376519,3,175.00,1,
13318679,1,180.00,1,8
11728836,1,95.00,1,10
1221511,1,95.00,1,10
9351679,1,80.00,1,4
11778074,2,290.00,3,
4792219,2,90.00,1,
6933582,1,100.00,1,9
2086732,1,180.00,1,10
13100152,1,110.00,1,10
15978933,1,65.00,1,9
20638833,1,50.00,1,10
19115142,1,100.00,3,
12681868,1,58.00,2,10
20057317,0,110.00,1,
19050041,1,80.00,1,10
21025596,1,85.00,2,10
2346416,1,65.00,1,10
10969246,1,70.00,1,10
761835,1,80.00,1,9
15126686,1,90.00,1,10
19332928,1,70.00,4,10
4041806,1,59.00,1,10
12600198,1,86.00,2,10
18278724,1,37.00,1,
4824013,1,60.00,1,9
17558802,1,55.00,1,
715286,1,58.00,8,9
