id,bedrooms,price,number_of_reviews
2836845,2,160.00,121
18433038,1,59.00,22
2745620,1,55.00,77
5036261,1,32.00,67
19912628,1,69.00,0
4685448,1,60.00,0
8194426,1,450.00,0
16975094,1,100.00,1
17367926,1,110.00,4
16679726,1,129.00,4
11670639,1,30.00,0
17462442,8,30.00,1
8681776,2,75.00,4
15757847,1,75.00,0
13922394,1,80.00,0
16542227,2,175.00,0
14181211,1,120.00,77
16146960,1,48.00,5
4874722,1,70.00,3
3040654,1,50.00,13
12607802,1,138.00,55
13941210,2,70.00,8
679633,1,75.00,1
12867950,1,40.00,0
11162977,1,70.00,13
19944735,1,105.00,0
12864971,0,400.00,0
13127582,1,100.00,1
18238083,1,40.00,4
16015050,1,95.00,0
1981410,1,135.00,15
14824090,1,95.00,2
12988802,2,174.00,0
1581579,2,188.00,156
12067200,1,68.00,0
16916708,1,80.00,6
20194665,1,59.00,14
20194264,1,125.00,0
13115616,2,130.00,0
20848827,1,150.00,0
18108648,2,100.00,22
9182008,2,140.00,11
1841252,2,100.00,3
16707621,1,95.00,0
19274661,1,60.00,1
12851100,0,80.00,1
13392143,1,29.00,0
14163104,1,95.00,20
1578776,1,59.00,117
2756886,1,35.00,103
8392760,1,45.00,93
12845943,1,40.00,1
6357564,1,55.00,25
20188527,1,75.00,0
8392882,1,80.00,2
14421275,1,65.00,0
12455130,1,95.00,67
10357730,1,38.00,11
18221952,1,60.00,12
6555427,1,65.00,9
14352688,1,60.00,8
19530271,1,119.00,1
4724661,1,125.00,0
2435198,1,50.00,7
16771876,1,70.00,27
1739847,1,35.00,42
11695338,1,45.00,6
8402207,1,28.00,38
17960424,1,65.00,7
18736577,1,49.00,11
13224318,1,49.00,11
15058410,1,65.00,18
18723699,1,45.00,2
2477138,1,30.00,0
18737053,1,39.00,13
2685940,1,80.00,67
13953640,2,125.00,11
13265829,1,55.00,13
13697001,1,25.00,0
9944320,1,25.00,0
2371632,1,98.00,75
19546150,0,100.00,0
19951032,0,45.00,0
21080809,1,50.00,0
18812810,1,115.00,7
4830154,1,45.00,0
15024889,2,85.00,6
17403646,1,55.00,4
18077042,1,81.00,23
16034472,1,90.00,0
20881491,1,39.00,8
11474664,2,110.00,36
7725825,3,79.00,15
21025488,2,155.00,0
18548776,1,85.00,0
5094957,1,55.00,154
17366174,1,69.00,0
6023683,5,335.00,37
11496210,1,87.00,36
5204719,2,70.00,22
15008979,1,69.00,70
19030149,2,110.00,11
21112584,1,100.00,0
6576336,1,65.00,74
21107357,1,55.00,0
4853647,0,99.00,66
6032118,1,55.00,96
4982699,2,99.00,58
21147340,1,50.00,0
20828094,0,70.00,1
18898125,2,51.00,8
19905952,1,55.00,0
16814973,1,50.00,5
13359647,1,40.00,15
10332161,1,35.00,2
12955940,1,34.00,2
19588726,1,70.00,4
18199127,0,32.00,0
12988898,1,130.00,0
16814803,1,60.00,27
18416347,1,75.00,16
21040944,1,40.00,0
15300956,1,40.00,17
16195143,2,80.00,18
16065265,1,140.00,7
16337106,1,55.00,26
20548992,1,150.00,1
13810918,0,60.00,56
20626705,1,37.00,1
176129,1,62.00,86
17045488,1,80.00,27
16814382,1,65.00,25
13688739,1,65.00,9
16351193,1,50.00,14
8756017,1,65.00,0
17529164,1,45.00,1
19604867,1,42.00,1
4347219,1,100.00,17
17045788,1,60.00,25
15176641,1,85.00,0
2698984,3,280.00,4
20575645,2,250.00,3
19887332,1,80.00,1
19360560,0,40.00,0
15099391,3,110.00,0
15345966,1,100.00,9
20728160,1,34.00,5
9113965,1,39.00,19
6867897,1,35.00,92
6314389,1,43.00,54
259946,1,125.00,4
16087737,1,31.00,6
20452107,2,119.00,2
4981857,1,80.00,9
19805091,2,87.00,3
19192001,0,75.00,4
15910991,2,120.00,0
258838,3,250.00,12
17716523,2,125.00,12
738588,7,625.00,1
18628272,1,68.00,31
17971822,1,109.00,0
16650268,1,119.00,0
6031948,0,70.00,4
16123943,1,105.00,3
13752815,1,69.00,36
13005376,1,85.00,25
7664991,1,80.00,22
14796074,3,299.00,1
16244553,1,85.00,44
19660760,1,129.00,15
18806323,2,250.00,20
13914735,2,87.00,69
1215627,2,150.00,79
16703220,2,180.00,9
20848182,2,50.00,0
1684053,1,75.00,143
6519873,1,75.00,22
12829824,3,180.00,5
7734034,0,120.00,4
21114659,1,75.00,0
13527085,1,35.00,6
16543067,1,86.00,0
14535032,1,38.00,3
12489666,1,90.00,15
2476456,1,35.00,12
12124688,2,150.00,38
8135403,1,80.00,46
9886514,1,250.00,0
20587645,1,0.00,0
16604081,1,124.00,1
19487831,1,350.00,0
15839869,0,95.00,36
5009768,1,180.00,47
14733074,1,49.00,3
3852261,1,129.00,86
14426371,1,42.00,19
15597266,1,60.00,4
14843072,2,191.00,17
