id,bedrooms,price,number_of_reviews
13540292,1,130.00,0
12335572,2,73.00,11
15770209,3,150.00,1
13678506,1,65.00,9
13148907,1,62.00,19
17836230,2,100.00,0
11446455,4,225.00,1
17053872,1,86.00,1
12761226,1,49.00,27
16306268,3,250.00,0
14274636,4,149.00,4
10172405,2,150.00,3
16698772,2,125.00,0
8811789,3,195.00,3
761411,1,48.00,117
7720233,3,125.00,0
1384479,1,125.00,21
11859831,1,60.00,20
17410049,1,73.00,0
5124214,2,109.00,5
12585183,3,225.00,1
9879725,2,77.00,9
13090950,2,140.00,3
17800761,4,110.00,0
13776069,2,110.00,11
17838096,1,152.00,0
13311521,1,60.00,19
17096015,1,63.00,5
17026187,2,79.00,0
12666580,2,100.00,3
6303583,4,180.00,12
5121714,4,200.00,4
16817681,4,100.00,0
6858428,0,80.00,56
17809110,1,125.00,0
14099734,4,100.00,5
15976914,1,163.00,5
11645848,3,249.00,0
2667413,3,130.00,5
14498590,3,150.00,3
17835031,3,150.00,0
17836910,2,125.00,0
13444064,2,180.00,27
3710782,1,90.00,7
16238910,1,40.00,0
9248684,1,45.00,5
13414785,1,45.00,17
11218361,1,49.00,0
2864823,1,65.00,85
3447998,3,130.00,4
14921039,1,70.00,34
14134576,2,125.00,2
3284802,1,70.00,117
3259374,3,140.00,25
16722519,1,30.00,3
13049566,3,110.00,2
3327727,3,125.00,2
12578052,1,140.00,19
4697911,4,140.00,10
14723562,3,88.00,2
9389404,1,90.00,0
3753071,1,75.00,17
17850552,2,145.00,0
13878012,3,105.00,1
14224799,2,100.00,1
14686289,0,75.00,8
16253959,2,250.00,0
12258399,4,120.00,15
5707655,2,85.00,48
14355447,2,175.00,34
5409737,0,95.00,3
14915385,3,106.00,1
17337920,3,125.00,0
1338633,1,59.00,50
16255590,4,100.00,0
14552284,1,85.00,9
886192,2,90.00,9
11556728,1,99.00,15
8162480,2,169.00,9
12749934,1,80.00,39
264628,1,100.00,1
6296657,4,250.00,0
7935029,2,95.00,37
8751830,1,69.00,22
16411638,1,55.00,1
9741835,2,80.00,1
3179826,3,205.00,8
3180391,1,115.00,5
15374358,4,148.00,1
12387233,2,510.00,0
595898,1,100.00,54
16772786,2,139.00,1
1020573,1,130.00,1
5216536,1,112.00,33
13664437,2,90.00,1
3637400,1,40.00,111
13293783,1,75.00,0
15537309,1,30.00,5
13145222,2,160.00,3
9192196,0,70.00,11
9474404,1,38.00,42
11015568,1,87.00,2
13508105,2,225.00,3
12783817,1,49.00,5
3346620,1,48.00,43
16484437,1,100.00,1
3942085,1,35.00,45
14302175,2,516.00,0
12959637,1,38.00,0
10601221,1,100.00,0
11251439,2,120.00,8
13431496,3,130.00,3
17196828,0,99.00,1
7036515,4,99.00,2
13922948,1,55.00,10
16050056,1,80.00,8
2362966,0,100.00,32
15526493,1,115.00,5
13330153,4,125.00,1
5403090,1,55.00,45
2888202,2,120.00,25
17634538,1,89.00,2
916850,3,255.00,27
17488195,1,98.00,1
5312713,1,90.00,34
10580323,1,74.00,27
15556436,1,50.00,7
4284604,1,80.00,15
13025223,3,99.00,3
13859520,4,149.00,1
16372941,1,80.00,0
7306822,1,65.00,47
1833963,1,59.00,170
5403528,3,100.00,10
17791932,1,85.00,0
8020016,1,52.00,109
2056256,3,219.00,2
15528234,1,150.00,3
10379281,1,140.00,2
4282686,1,62.00,138
6546899,2,152.00,1
17612492,3,149.00,0
12081447,3,139.00,43
7049460,2,93.00,6
12735515,1,80.00,6
9269326,1,55.00,20
6811699,1,40.00,51
10582829,4,165.00,1
2531121,2,49.00,85
11522276,4,230.00,5
17251664,7,100.00,0
12145761,1,100.00,1
9074767,1,70.00,6
17338579,2,95.00,0
1828391,4,200.00,3
6223768,1,89.00,81
8058674,1,50.00,37
3144955,1,40.00,90
17093014,1,23.00,11
12206076,2,179.00,0
8252909,1,70.00,29
16774811,2,125.00,0
14832661,2,175.00,3
874340,1,60.00,256
4257245,1,89.00,14
5388929,1,65.00,17
17462676,1,56.00,1
10725464,4,190.00,1
1103734,2,101.00,0
14054735,2,135.00,20
15594816,1,75.00,8
1928474,4,110.00,3
2450025,1,60.00,4
9986641,1,58.00,12
15880053,1,54.00,11
8378116,1,60.00,53
9366344,1,84.00,15
12776567,1,80.00,0
12839333,1,75.00,3
15953085,3,150.00,1
8385328,3,175.00,3
14609502,0,60.00,29
12120837,1,60.00,9
13035842,1,63.00,18
3568357,1,75.00,22
6022379,2,115.00,23
1155432,2,75.00,31
17886196,0,85.00,0
6392669,3,120.00,3
17613852,1,50.00,0
3700218,1,70.00,92
12141525,1,70.00,33
11460770,1,65.00,33
3582360,1,80.00,0
16625355,3,103.00,2
15869981,3,269.00,0
15581428,4,195.00,0
9424671,2,149.00,60
6770259,1,110.00,5
2013595,2,99.00,4
13924621,3,120.00,0
2829905,1,50.00,46
17643789,2,120.00,0
2797128,3,120.00,3
7512251,1,100.00,1
9949257,2,95.00,10
17115250,3,195.00,0
2144308,1,85.00,1
1064499,2,50.00,2
9358665,1,65.00,25
13314104,1,45.00,2
17901606,0,125.00,0
13611328,1,35.00,17
6344463,3,170.00,24
6963313,1,65.00,15
15048686,1,45.00,3
11943431,3,95.00,1
3385173,4,251.00,31
10823505,4,120.00,9
15577083,2,120.00,0
13711578,5,134.00,4
4630306,2,75.00,7
4208249,1,74.00,36
14896223,1,35.00,2
16893553,2,160.00,0
17114506,3,119.00,4
13132427,3,175.00,1
14339440,1,59.00,46
6834902,3,124.00,11
13012178,4,220.00,10
2910674,4,150.00,10
9708720,2,99.00,7
9708704,1,49.00,5
12296697,3,169.00,3
13649201,3,80.00,1
3819951,3,105.00,2
16364432,1,52.00,5
14853175,1,37.00,28
13836784,2,195.00,0
11938685,1,49.00,23
13737217,1,70.00,11
1291054,1,60.00,233
3492869,3,99.00,20
12977660,2,75.00,1
8921549,1,56.00,37
5223111,1,75.00,79
6212033,1,95.00,37
13723534,3,100.00,2
15640161,1,90.00,10
2338618,1,40.00,116
13836709,1,55.00,20
15640146,3,80.00,0
11558669,3,150.00,1
4278312,1,80.00,35
6429875,3,155.00,2
17245735,1,120.00,0
6828574,3,77.00,7
8840817,1,40.00,38
11615233,4,150.00,1
15076339,1,23.00,1
7456687,4,114.00,15
2735075,2,180.00,31
8320288,1,80.00,10
14531477,3,95.00,2
6300592,1,60.00,1
13671821,2,95.00,9
16462649,3,325.00,0
13649696,1,40.00,2
6764225,3,139.00,1
13278086,3,100.00,3
8648283,2,195.00,1
16425793,2,150.00,0
1383297,2,350.00,2
4961851,1,112.00,85
17548349,1,95.00,2
15472944,1,129.00,15
9910712,2,93.00,39
17799350,2,130.00,0
10562799,2,109.00,31
10357769,1,79.00,7
8982238,2,79.00,2
12062398,1,50.00,2
13724355,2,90.00,1
2592291,2,145.00,25
11946090,10,100.00,2
14623521,4,159.00,2
2460851,2,95.00,0
17959033,2,60.00,0
5507178,3,150.00,9
8885322,2,130.00,11
15796245,2,175.00,3
8694219,1,153.00,9
15697256,2,90.00,0
2097548,2,150.00,12
6980918,1,70.00,7
6587565,1,88.00,76
17891382,3,140.00,0
3937891,0,135.00,107
13993535,3,115.00,2
16034725,1,89.00,3
1016999,1,55.00,2
7739393,2,99.00,17
667305,0,129.00,11
14910428,2,150.00,0
13337449,3,150.00,12
4752191,1,45.00,77
7111455,1,65.00,75
70598,1,38.00,46
7242227,1,55.00,42
8618487,2,110.00,2
984134,2,110.00,1
4661466,2,40.00,71
9132701,0,85.00,47
17712637,1,55.00,1
7705953,1,85.00,8
12976501,0,85.00,19
13374751,4,125.00,9
13921682,4,111.00,1
8491286,1,60.00,29
1708244,1,79.00,86
4952268,2,90.00,21
10293248,2,150.00,11
17801856,1,96.00,0
16854501,0,75.00,12
17557514,3,115.00,0
11560797,1,75.00,3
10512219,3,200.00,0
13199169,2,109.00,1
3371621,4,260.00,5
12749738,3,134.00,2
12445459,4,285.00,0
1366058,2,150.00,38
10639382,1,100.00,52
8021740,1,325.00,2
5547642,1,60.00,0
7825100,1,60.00,2
13729170,1,89.00,7
16077145,2,150.00,0
13791652,4,100.00,2
5504121,3,125.00,1
156815,10,595.00,18
1670232,1,70.00,10
13758821,3,90.00,4
17970787,0,120.00,0
6355987,2,125.00,175
8465843,1,88.00,18
1081307,2,85.00,44
15668626,2,75.00,24
17851491,1,250.00,0
17542367,1,54.00,0
9703355,1,40.00,28
13303591,1,80.00,16
6513738,2,200.00,1
16318223,1,99.00,1
11559988,3,85.00,4
17519995,0,149.00,0
15367782,1,70.00,0
17101764,1,110.00,3
17792921,1,78.00,0
17541633,1,54.00,0
14711799,1,85.00,25
7497053,4,120.00,9
876543,1,180.00,120
4349963,3,119.00,6
17194792,0,65.00,5
6651113,1,63.00,6
17834112,2,180.00,0
13794524,3,160.00,7
1793971,2,100.00,100
1139498,1,104.00,79
8999555,1,85.00,0
4518120,2,80.00,44
12328404,2,175.00,1
9203943,1,100.00,5
11788220,3,170.00,7
1734985,2,122.00,213
12906731,2,85.00,1
582382,3,140.00,13
13693077,3,150.00,3
3202969,1,80.00,11
12838514,0,110.00,15
4577582,1,500.00,0
16360498,3,205.00,2
15110844,1,85.00,21
8286308,2,125.00,0
6184817,2,89.00,10
11235395,1,110.00,16
7783993,1,50.00,11
8122433,1,85.00,11
913470,3,100.00,1
