id,bedrooms,price,number_of_reviews
6244508,1,458.00,28
13307589,1,365.00,1
11767500,1,450.00,13
5459662,1,582.00,1
9081540,2,1,450.00,1
9015005,0,1,187.00,28
1851704,2,1,016.00,56
10027348,1,427.00,21
5047451,0,396.00,52
7507729,2,1,699.00,6
10109325,2,1,008.00,3
10211087,1,1,202.00,1
12649552,1,1,202.00,0
2098808,1,597.00,76
9503164,1,496.00,0
3255824,0,396.00,83
1361175,1,1,202.00,13
11665908,1,450.00,1
14205432,1,302.00,0
14268061,2,403.00,0
2608965,1,357.00,7
5516771,1,698.00,7
5787462,1,597.00,16
7965617,0,388.00,33
9765631,1,589.00,0
13499173,0,605.00,3
14287420,0,489.00,0
3495020,1,651.00,0
11784024,1,698.00,0
8244599,3,799.00,0
9699945,1,698.00,5
9962102,0,752.00,0
3493727,0,411.00,38
8672703,1,1,497.00,5
14292743,1,208.00,0
13067205,1,1,132.00,5
7750328,1,202.00,0
4106600,0,396.00,36
13193105,1,240.00,0
4607888,2,543.00,1
14058205,0,931.00,0
9618789,1,558.00,5
10978035,1,512.00,12
9381409,2,853.00,3
9605015,0,403.00,1
11928327,1,900.00,2
9636656,1,1,349.00,3
2229315,2,1,939.00,63
664221,1,651.00,16
12923454,1,2,497.00,0
8606304,0,613.00,15
2510755,0,690.00,36
72571,0,558.00,133
9290560,1,900.00,5
6652744,1,1,163.00,4
6490934,2,853.00,49
5686112,1,1,551.00,0
14254988,1,496.00,0
4508620,0,698.00,52
8474601,2,752.00,4
5060138,1,698.00,2
1375602,1,698.00,10
13456882,1,745.00,0
5948342,1,1,241.00,2
8962207,1,582.00,3
7670614,1,799.00,5
9601492,1,853.00,2
14222908,0,450.00,0
5820425,0,690.00,9
2393133,2,845.00,16
11068461,1,496.00,1
9978965,1,186.00,0
8634047,1,287.00,0
12414102,1,1,287.00,3
9503826,0,698.00,1
11420805,1,799.00,6
3933308,0,388.00,75
11724166,1,403.00,1
4818085,2,1,388.00,3
4326010,2,2,001.00,7
2327724,1,1,404.00,1
8890587,1,264.00,0
7718086,1,597.00,0
10958906,2,1,784.00,1
10092448,0,496.00,3
10709880,1,202.00,8
2602014,2,698.00,11
13552508,0,326.00,1
6146597,1,1,047.00,0
5582714,1,597.00,1
1623311,1,993.00,7
8930593,1,520.00,0
9667889,1,2,490.00,0
1344915,1,659.00,29
2268840,3,1,000.00,55
5071056,1,403.00,1
12814576,1,558.00,0
2674870,1,892.00,29
2889903,1,620.00,44
4914155,0,597.00,49
11643427,1,1,047.00,0
10979079,1,752.00,8
7334407,1,388.00,1
5925440,0,1,000.00,6
6576381,2,1,000.00,2
13401153,0,698.00,5
12508531,1,1,481.00,2
2190412,2,2,102.00,28
12124307,2,597.00,0
12532859,1,302.00,0
11779206,1,496.00,0
2258114,1,1,699.00,11
9452688,0,651.00,3
11369619,2,1,497.00,0
9787812,2,403.00,1
5712609,1,1,000.00,0
4848831,0,450.00,14
1932513,1,1,303.00,11
13319437,1,1,202.00,0
11730201,1,411.00,3
6941509,0,628.00,8
6241573,2,1,900.00,17
13466926,1,620.00,4
7903745,1,900.00,2
2653491,2,1,156.00,44
12081127,2,900.00,25
13466773,1,698.00,1
11807597,1,946.00,24
