id,bedrooms,price,number_of_reviews
17756177,2,70.00,3
13182283,1,60.00,1
5518660,0,70.00,40
14130462,1,40.00,3
7446531,3,67.00,0
6148754,1,100.00,19
6658920,2,65.00,1
10481464,1,100.00,19
6003503,1,58.00,6
9149224,1,26.00,8
12950254,1,80.00,22
16752200,3,125.00,0
17145369,1,50.00,3
8728726,1,70.00,16
12355662,1,75.00,0
2158913,0,88.00,12
6086506,2,125.00,57
14529786,1,99.00,0
3532411,0,50.00,42
13483853,0,70.00,0
4717808,0,65.00,31
13027771,0,250.00,0
5036829,1,80.00,5
14595061,1,84.00,17
12224288,1,120.00,27
17898437,1,65.00,0
16347295,0,59.00,0
2192771,1,59.00,13
15851188,1,30.00,41
12745786,1,119.00,14
16658325,1,59.00,12
16990115,1,30.00,8
12357772,1,70.00,0
9903841,1,49.00,4
12733593,1,70.00,5
7161819,1,65.00,0
13183434,0,70.00,0
1262594,1,130.00,96
4954439,2,100.00,163
11887712,,56.00,65
4455438,1,80.00,0
11392759,0,65.00,34
9911564,1,80.00,0
10170103,1,100.00,6
13185092,1,170.00,0
5621702,1,40.00,0
10927384,1,100.00,0
16832328,1,100.00,0
16505483,1,35.00,3
12284996,0,79.00,8
16508334,0,70.00,10
9120613,1,100.00,36
14409515,2,100.00,0
13664733,1,73.00,6
15358661,1,50.00,16
5102063,1,145.00,43
15119333,1,80.00,5
12008913,1,120.00,10
14792761,1,70.00,6
13759501,0,60.00,16
6284482,0,60.00,3
6021575,2,140.00,0
6685758,1,65.00,1
12576118,1,98.00,11
5056762,0,40.00,2
4384657,2,249.00,65
17073802,1,90.00,0
12698233,0,55.00,19
15946814,0,110.00,0
15028335,1,49.00,30
17071404,0,59.00,1
17219587,0,75.00,5
7806435,1,88.00,1
17381865,2,225.00,1
15460937,1,79.00,4
14863318,1,250.00,0
5983155,2,110.00,0
15312403,1,47.00,0
14228482,1,117.00,1
15308101,0,49.00,2
5803187,2,120.00,10
18029254,0,90.00,0
4265806,1,100.00,4
2477302,2,99.00,45
4955053,4,850.00,53
16448986,0,45.00,1
7464442,0,60.00,1
1286875,3,160.00,40
14767148,1,44.00,22
17934791,3,250.00,0
16022777,0,100.00,0
8232153,1,30.00,27
17018604,1,150.00,1
17707702,0,30.00,0
14607521,1,29.00,24
1662753,1,35.00,7
5792172,0,55.00,3
6745996,1,62.00,6
16888240,3,150.00,12
13484053,1,55.00,7
13405774,0,50.00,1
16630932,1,185.00,0
2330517,1,50.00,6
1505297,1,64.00,8
331987,1,150.00,0
4344726,1,59.00,14
12534924,1,110.00,0
11730250,2,150.00,1
16079326,0,39.00,14
7514602,1,150.00,5
6397860,1,30.00,0
13708902,1,82.00,1
14068006,1,33.00,6
4678160,1,95.00,0
7199537,1,40.00,7
15268618,0,100.00,1
10169731,1,70.00,1
15771870,1,50.00,2
18040491,0,67.00,0
16714593,1,110.00,0
13403053,1,55.00,2
14855736,1,90.00,6
13872325,1,50.00,0
1282543,1,60.00,2
7720494,1,84.00,0
3235603,1,65.00,0
6483979,1,50.00,3
77482,4,400.00,71
17987696,1,65.00,0
13304237,0,80.00,0
6815363,1,45.00,6
4259873,1,80.00,17
17920122,0,50.00,0
7343614,1,70.00,2
6851421,1,80.00,1
9311961,2,105.00,0
4248238,1,60.00,27
13752559,1,40.00,1
15672665,1,55.00,5
14357834,2,150.00,11
14646474,2,80.00,6
13052544,0,56.00,2
765249,2,119.00,4
